byte,bit,nummer
321,3,701743
321,4,701744
321,5,701745
321,6,701746
321,7,701747
322,0,701748
322,1,701749
322,2,701750
322,3,701751
322,4,701752
322,5,701753
322,6,701754
322,7,701755
323,0,701756
323,1,701757
323,2,701758
323,3,701759
323,4,701760
323,5,701761
323,6,701762
323,7,701763
324,0,701800
324,1,701801
324,2,701802
324,3,701803
324,4,701804
324,5,701805
324,6,701806
324,7,701807
325,0,701808
325,1,701809
325,2,701810
325,3,701811
325,4,701812
325,5,701813
325,6,701814
325,7,701815
326,0,701816
326,1,701817
326,2,701818
326,3,701819
326,4,701820
326,5,701821
326,6,701822
326,7,701823
327,0,701824
327,1,701825
327,2,701826
327,3,701827
327,4,701828
327,5,701829
327,6,701830
327,7,701831
328,0,701832
328,1,701833
328,2,701834
328,3,701835
328,4,701836
328,5,701837
328,6,701838
328,7,701839
329,0,701840
329,1,701841
329,2,701842
329,3,701843
329,4,701844
329,5,701845
329,6,701846
329,7,701847
330,0,701848
330,1,701849
330,2,701850
330,3,701851
330,4,701852
330,5,701853
330,6,701854
330,7,701855
331,0,701856
331,1,701857
331,2,701858
331,3,701859
331,4,701860
331,5,701861
331,6,701862
331,7,701863
332,0,701900
332,1,701901
332,2,701902
332,3,701903
332,4,701904
332,5,701905
332,6,701906
332,7,701907
333,0,701908
333,1,701909
333,2,701910
333,3,701911
333,4,701912
333,5,701913
333,6,701914
333,7,701915
334,0,701916
334,1,701917
334,2,701918
334,3,701919
334,4,701920
334,5,701921
334,6,701922
334,7,701923
335,0,701924
335,1,701925
335,2,701926
335,3,701927
335,4,701928
335,5,701929
335,6,701930
335,7,701931
336,0,701932
336,1,701933
336,2,701934
336,3,701935
336,4,701936
336,5,701937
336,6,701938
336,7,701939
337,0,701940
337,1,701941
337,2,701942
337,3,701943
337,4,701944
337,5,701945
337,6,701946
337,7,701947
338,0,701948
338,1,701949
338,2,701950
338,3,701951
338,4,701952
338,5,701953
338,6,701954
338,7,701955
339,0,701956
339,1,701957
339,2,701958
339,3,701959
339,4,701960
339,5,701961
339,6,701962
339,7,701963
340,0,702000
340,1,702001
340,2,702002
340,3,702003
340,4,702004
340,5,702005
340,6,702006
340,7,702007
341,0,702008
341,1,702009
341,2,702010
341,3,702011
341,4,702012
341,5,702013
341,6,702014
341,7,702015
342,0,702016
342,1,702017
342,2,702018
342,3,702019
342,4,702020
342,5,702021
342,6,702022
342,7,702023
343,0,702024
343,1,702025
343,2,702026
343,3,702027
343,4,702028
343,5,702029
343,6,702030
343,7,702031
344,0,702032
344,1,702033
344,2,702034
344,3,702035
344,4,702036
344,5,702037
344,6,702038
344,7,702039
345,0,702040
345,1,702041
345,2,702042
345,3,702043
345,4,702044
345,5,702045
345,6,702046
345,7,702047
346,0,702048
346,1,702049
346,2,702050
346,3,702051
346,4,702052
346,5,702053
346,6,702054
346,7,702055
347,0,702056
347,1,702057
347,2,702058
347,3,702059
347,4,702060
347,5,702061
347,6,702062
347,7,702063
